Gene_ID
Cgl0240
Cgl2670
Cgl2700
Cgl0286 and Cgl0744
Cgl0366 and Cgl1129 and Cgl2207 and Cgl2248
Cgl0696
Cgl0689
Cgl2214
Cgl1206 and Cgl1207 and Cgl1208 and Cgl1209 and Cgl1210 and Cgl1211 and Cgl1212 and Cgl1213
Cgl2192 and Cgl2194 and Cgl2195 and Cgl2523
Cgl0269 and Cgl2729 and Cgl2731
Cgl0252
Cgl1183 and Cgl1184
Cgl2310
Cgl1271 and Cgl1272
Cgl1315 and Cgl1316
Cgl0978
