Gene_ID
Cgl0240
Cgl2670
Cgl2700
Cgl0289
Cgl0286 and Cgl0744
Cgl0719
Cgl0366 and Cgl1129 and Cgl2207 and Cgl2248
Cgl0689
Cgl0996
Cgl0135
Cgl0828
Cgl0648
Cgl2522
Cgl0942
Cgl0712
Cgl0460
Cgl0556
Cgl1206 and Cgl1207 and Cgl1208 and Cgl1209 and Cgl1210 and Cgl1211 and Cgl1212 and Cgl1213
Cgl2192 and Cgl2194 and Cgl2195 and Cgl2523
Cgl0269 and Cgl2729 and Cgl2731
Cgl0252
Cgl0251
Cgl1183
Cgl1183 and Cgl1184
Cgl2220
Cgl1271 and Cgl1272
Cgl1268
Cgl1315 and Cgl1316
Cgl1273
