	reaction	equ	g0
3OAS120_num1	3OAS120_num1	dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c	0.0
3OAS121_num1	3OAS121_num1	cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c	0.0
3OAS140_num1	3OAS140_num1	ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c	0.0
3OAS141_num1	3OAS141_num1	cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c	0.0
3OAS160_num1	3OAS160_num1	h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c	0.0
3OAS161_num1	3OAS161_num1	h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c	0.0
3OAS180_num1	3OAS180_num1	h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c	0.0
3OAS181_num1	3OAS181_num1	h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c	0.0
3OAS60_num1	3OAS60_num1	butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c	0.0
3OAS80_num1	3OAS80_num1	h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c	0.0
AACPS1_num1	AACPS1_num1	ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c	-0.0
AACPS2_num1	AACPS2_num1	ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c	-0.0
AACPS3_num1	AACPS3_num1	ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c	-0.0
AACPS4_num1	AACPS4_num1	ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c	-0.0
AACPS5_num1	AACPS5_num1	ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c	-0.0
AACPS6_num1	AACPS6_num1	ACP_c + atp_c + ocdca_c --> amp_c + ocdcaACP_c + ppi_c	-0.0
AACPS7_num1	AACPS7_num1	ACP_c + atp_c + ddca_c --> amp_c + ddcaACP_c + ppi_c	-0.0
AACPS8_num1	AACPS8_num1	ACP_c + atp_c + dca_c --> amp_c + dcaACP_c + ppi_c	-0.0
AACPS9_num1	AACPS9_num1	ACP_c + atp_c + octa_c --> amp_c + ocACP_c + ppi_c	-0.0
ALAALAr	ALAALAr	2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c	-29
EAR100x	EAR100x	h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c	-0.0
EAR100y	EAR100y	h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c	-0.0
EAR120x	EAR120x	h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c	-0.0
EAR120y	EAR120y	h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c	-0.0
EAR121x	EAR121x	h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c	-0.0
EAR121y	EAR121y	h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c	-0.0
EAR140x	EAR140x	h_c + nadh_c + tmrs2eACP_c --> myrsACP_c + nad_c	-0.0
EAR140y	EAR140y	h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c	-0.0
EAR141x	EAR141x	h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c	-0.0
EAR141y	EAR141y	h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c	-0.0
EAR160x	EAR160x	h_c + nadh_c + tpalm2eACP_c --> nad_c + palmACP_c	-0.0
EAR160y	EAR160y	h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c	-0.0
EAR161x	EAR161x	h_c + nadh_c + t3c9palmeACP_c --> hdeACP_c + nad_c	-0.0
EAR161y	EAR161y	h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c	-0.0
EAR180x	EAR180x	h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c	-0.0
EAR180y	EAR180y	h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c	-0.0
EAR181x	EAR181x	h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c	-0.0
EAR181y	EAR181y	h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c	-0.0
EAR40x	EAR40x	but2eACP_c + h_c + nadh_c --> butACP_c + nad_c	-0.0
EAR40y	EAR40y	but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c	-0.0
EAR60x	EAR60x	h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c	-0.0
EAR60y	EAR60y	h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c	-0.0
EAR80x	EAR80x	h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c	-0.0
EAR80y	EAR80y	h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c	-0.0
FA100ACPHi_num1	FA100ACPHi_num1	dcaACP_c + h2o_c --> ACP_c + dca_c + h_c	-0.0
FA120ACPHi_num1	FA120ACPHi_num1	ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c	-0.0
FA140ACPHi_num1	FA140ACPHi_num1	h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c	-0.0
FA141ACPHi_num1	FA141ACPHi_num1	h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c	-0.0
FA160ACPHi_num1	FA160ACPHi_num1	h2o_c + palmACP_c --> ACP_c + h_c + hdca_c	0.0
FA161ACPHi_num1	FA161ACPHi_num1	h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c	-0.0
FA80ACPHi_num1	FA80ACPHi_num1	h2o_c + ocACP_c --> ACP_c + h_c + octa_c	0.0
FACOAL100t2pp_num1	FACOAL100t2pp_num1	atp_c + coa_c + dca_e + h_e --> amp_c + dcacoa_c + h_c + ppi_c	-0.0
FACOAL120t2pp_num1	FACOAL120t2pp_num1	atp_c + coa_c + ddca_e + h_e --> amp_c + ddcacoa_c + h_c + ppi_c	0.0
FACOAL140t2pp_num1	FACOAL140t2pp_num1	atp_c + coa_c + h_e + ttdca_e --> amp_c + h_c + ppi_c + tdcoa_c	0.0
FACOAL141t2pp_num1	FACOAL141t2pp_num1	atp_c + coa_c + h_e + ttdcea_e --> amp_c + h_c + ppi_c + tdecoa_c	-0.0
FACOAL160t2pp_num1	FACOAL160t2pp_num1	atp_c + coa_c + h_e + hdca_e --> amp_c + h_c + pmtcoa_c + ppi_c	-16
FACOAL161t2pp_num1	FACOAL161t2pp_num1	atp_c + coa_c + h_e + hdcea_e --> amp_c + h_c + hdcoa_c + ppi_c	-0.0
FACOAL180t2pp_num1	FACOAL180t2pp_num1	atp_c + coa_c + h_e + ocdca_e --> amp_c + h_c + ppi_c + stcoa_c	-14.6
FACOAL181t2pp_num1	FACOAL181t2pp_num1	atp_c + coa_c + h_e + ocdcea_e --> amp_c + h_c + odecoa_c + ppi_c	-0.0
FACOAL60t2pp_num1	FACOAL60t2pp_num1	atp_c + coa_c + h_e + hxa_e --> amp_c + h_c + hxcoa_c + ppi_c	-0.0
FACOAL80t2pp_num1	FACOAL80t2pp_num1	atp_c + coa_c + h_e + octa_e --> amp_c + h_c + occoa_c + ppi_c	-14.6
G1PACT	G1PACT	accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c	-25
GF6PTA	GF6PTA	f6p_c + gln__L_c --> gam6p_c + glu__L_c	-16.3
GLUR	GLUR	glu__D_c --> glu__L_c	-0.5
INPTH	INPTH	g6p_c --> mi1p__D_c	-60
MI1PP_num1	MI1PP_num1	h2o_c + mi1p__D_c --> inost_c + pi_c	-23.1
PGAMT	PGAMT	gam1p_c --> gam6p_c	-3.4
T2DECAI	T2DECAI	tdec2eACP_c --> cdec3eACP_c	0.0
TDPGDH_num1	TDPGDH_num1	dtdpglu_c --> dtdp4d6dg_c + h2o_c	-47.5
UAAGDS	UAAGDS	26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c	-25.1
UAGCVT_num1	UAGCVT_num1	pep_c + uacgam_c --> pi_c + uaccg_c	-14
UAGDP	UAGDP	acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c	-10.1
UAGPT3	UAGPT3	uacgam_c + uagmda_c --> h_c + uaagmda_c + udp_c	-15.7
UAMAGS	UAMAGS	atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c	-32.6
UAMAS	UAMAS	ala__L_c + atp_c + uamr_c --> adp_c + h_c + pi_c + uama_c	-31.4
UAMDH_num1	UAMDH_num1	h_c + nadph_c + uaccg_c --> nadp_c + uamr_c	-54.6
UDCPDP	UDCPDP	h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c	-36.3
UDPGALM	UDPGALM	udpgal_c --> udpgalfur_c	2.7
UDPGD_num1	UDPGD_num1	h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c	-31.5
UGMDDS	UGMDDS	alaala_c + atp_c + ugmd_c --> adp_c + h_c + pi_c + ugmda_c	-33.8
3OAR121	3OAR121	3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c	-0.0
3OAR141	3OAR141	3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c	-0.0
3OAR161	3OAR161	3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c	-0.0
3OAR181	3OAR181	3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c	-0.0
G1PTT	G1PTT	dttp_c + g1p_c + h_c --> dtdpglu_c + ppi_c	1.8
GALUi_num1	GALUi_num1	g1p_c + h_c + utp_c --> ppi_c + udpg_c	-3.2
PAPPT3	PAPPT3	udcpp_c + ugmda_c --> uagmda_c + ump_c	-1.7
ACONTa	ACONTa	cit_c --> acon_C_c + h2o_c	9.2
ACONTb	ACONTb	acon_C_c + h2o_c --> icit_c	-1.4
AKGDH	AKGDH	akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c	-29
CITL	CITL	cit_c --> ac_c + oaa_c	4.2
CS_num1	CS_num1	accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c	-40.0
FRD2	FRD2	fum_c + mql8_c --> mqn8_c + succ_c	-34
FRD3	FRD3	2dmmql8_c + fum_c --> 2dmmq8_c + succ_c	-12
FUM	FUM	fum_c + h2o_c --> mal__L_c	-3.43
ICDHyr	ICDHyr	icit_c + nadp_c --> akg_c + co2_c + nadph_c	5.4
MDH	MDH	mal__L_c + nad_c --> h_c + nadh_c + oaa_c	25.38
MDH2	MDH2	mal__L_c + q8_c --> oaa_c + q8h2_c	-105
MDH3	MDH3	mal__L_c + mqn8_c --> mql8_c + oaa_c	3
PYRC	PYRC	atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c	-7.8
SUCOAS	SUCOAS	adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c	1.8
2MAHMP	2MAHMP	2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c	-35
ACBIPGT	ACBIPGT	adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c	0.0
ACPS1_num1	ACPS1_num1	apoACP_c + coa_c --> ACP_c + h_c + pap_c	-0.0
ADCL	ADCL	4adcho_c --> 4abz_c + h_c + pyr_c	-92
ADCS	ADCS	chor_c + gln__L_c --> 4adcho_c + glu__L_c	-18.5
ADOCBIK	ADOCBIK	adocbi_c + atp_c --> adocbip_c + adp_c + h_c	-0.0
ADOCBLS	ADOCBLS	agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c	-0.0
ALATA_D2	ALATA_D2	ala__D_c + pydx5p_c --> pyam5p_c + pyr_c	0.9
ALATA_L2	ALATA_L2	ala__L_c + pydx5p_c --> pyam5p_c + pyr_c	0.9
AMAOTr	AMAOTr	8aonn_c + amet_c --> amob_c + dann_c	-1.774850272742
AMMQLT8	AMMQLT8	2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c	-0.0
AMPMS2	AMPMS2	air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c	-186
ASP1DC	ASP1DC	asp__L_c + h_c --> ala_B_c + co2_c	-15
ASPO5	ASPO5	asp__L_c + fum_c --> h_c + iasp_c + succ_c	0.1
BMOCOS_num1	BMOCOS_num1	moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c	-0.0
BTS4	BTS4	amet_c + dtbt_c + s_c --> btn_c + dad_5_c + h_c + met__L_c	-0.0
BWCOS_num1	BWCOS_num1	mptamp_c + wco_c --> amp_c + bwco_c + cu2_c	-0.0
CDPMEK	CDPMEK	4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c	-9
CPMPS_num1	CPMPS_num1	gtp_c + h2o_c --> cpmp_c + ppi_c	-0
CPPPGO	CPPPGO	cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c	-353
CPPPGO2	CPPPGO2	2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c	0.0
DB4PS	DB4PS	ru5p__D_c --> db4p_c + for_c + h_c	-89.6
DBTS	DBTS	atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c	2
DHFR	DHFR	dhf_c + h_c + nadph_c --> nadp_c + thf_c	-18.1
DHFS	DHFS	atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c	-21.0
DHNCOAS	DHNCOAS	h_c + sbzcoa_c --> 14dhncoa_c + h2o_c	-0.0
DHNCOAT	DHNCOAT	14dhncoa_c + h2o_c --> coa_c + dhna_c + h_c	0.0
DHPPDA2_num1	DHPPDA2_num1	25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c	0
DHPS2_num1	DHPS2_num1	4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c	-65
DHPTPE	DHPTPE	ahdt_c --> dhmptp_c	-17
DMATT_num1	DMATT_num1	dmpp_c + ipdp_c --> grdp_c + ppi_c	-82.3
DMPPS	DMPPS	h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c	-61.6
DPCOAK	DPCOAK	atp_c + dpcoa_c --> adp_c + coa_c + h_c	3.1
DPR	DPR	2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c	-15.2
DXPRIi	DXPRIi	dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c	-12.2
DXPS	DXPS	g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c	-27.7
FCLT	FCLT	fe2_c + ppp9_c --> 2.0 h_c + pheme_c	0.0
FMNAT	FMNAT	atp_c + fmn_c + h_c --> fad_c + ppi_c	-9
G1SAT	G1SAT	glu1sa_c --> 5aop_c	-9.5
GDPDPK	GDPDPK	atp_c + gdp_c --> amp_c + h_c + ppgpp_c	-12
GDPTPDP	GDPTPDP	gdptp_c + h2o_c --> gtp_c + ppi_c	-38
GLUCYS	GLUCYS	atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c	-36
GLUTRR	GLUTRR	glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c	0.0
GLYOD	GLYOD	glyclt_c + o2_c --> glx_c + h2o2_c	-88
GRTT_num1	GRTT_num1	grdp_c + ipdp_c --> frdp_c + ppi_c	-83.9
GTHOr	GTHOr	gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c	-12.2
GTHRDHpp	GTHRDHpp	gthrd_c + h2o_c --> cgly_c + glu__L_c	-2.0
GTPCI	GTPCI	gtp_c + h2o_c --> ahdt_c + for_c + h_c	-63
